VD_V,measured_covariance,new_dynamic_covariance,static_covariance,measured_r,new_dynamic_r,static_r,dlnI_dGIDLphi,dlnI_dphiE
3.000000000000000000e+00,-9.386787410659976029e-04,-8.634584449571296259e-04,-1.371411095251166877e-03,-5.636390736266638779e-01,-5.184722916789039626e-01,-8.234775599699541981e-01,1.102007640696456292e-05,1.744811254604350097e+02
3.020000000000000018e+00,-9.092577131757219409e-04,-8.046397477058480881e-04,-1.318035922564469867e-03,-5.796603365466926894e-01,-5.129654004528401146e-01,-8.402602863669070832e-01,1.070331823171954966e-05,1.676903387749284491e+02
3.040000000000000036e+00,-7.875462224830942016e-04,-7.512755745184035872e-04,-1.269183994926712748e-03,-5.390355936097238621e-01,-5.142101678783776997e-01,-8.686923110979271057e-01,4.877406034609066410e-06,1.614750357699534788e+02
3.060000000000000053e+00,-7.628944395452948732e-04,-7.087269409002879298e-04,-1.234820427512821773e-03,-5.391711999649665410e-01,-5.008886359172637359e-01,-8.727021421733827111e-01,6.717305822689922934e-06,1.571030459601274742e+02
3.080000000000000071e+00,-7.320160184747481454e-04,-6.698481263721454016e-04,-1.203651482206883824e-03,-5.526006824938677342e-01,-5.056699887138538241e-01,-9.086394474511412245e-01,9.399216516214892181e-06,1.531374993652967476e+02
3.100000000000000089e+00,-6.330863328041937523e-04,-6.320272213335362006e-04,-1.171277332019644065e-03,-5.054116873256971898e-01,-5.045661670740120286e-01,-9.350656016854509422e-01,9.923865285088595556e-06,1.490186187096398385e+02
3.120000000000000107e+00,-5.788799544680538808e-04,-5.906493747566926404e-04,-1.128894223112235362e-03,-5.040377173062878802e-01,-5.142854926706206253e-01,-9.829417358571664876e-01,9.676322854090813053e-06,1.436263241760826759e+02
3.140000000000000124e+00,-5.458849139378500488e-04,-5.524552243780006446e-04,-1.088980585421306076e-03,-5.048381983864045353e-01,-5.109144675793330093e-01,-1.007096885781414430e+00,7.512127808695368003e-06,1.385482150719319350e+02
3.160000000000000142e+00,-5.191929723969786106e-04,-5.210774849155606122e-04,-1.059314512739431644e-03,-5.022370866283900614e-01,-5.040600544406810268e-01,-1.024719252737945618e+00,-1.624295364877070824e-06,1.347738807710996412e+02
3.180000000000000160e+00,-4.817014790562485697e-04,-4.974799208960670833e-04,-1.043032170499346573e-03,-5.189043506739448031e-01,-5.359013965073490260e-01,-1.123587854090434490e+00,7.444148408808359818e-06,1.327023156950879468e+02
3.200000000000000178e+00,-4.609169349146951026e-04,-4.678160431722855382e-04,-1.011572013992748662e-03,-5.359216121430500079e-01,-5.439434072642068685e-01,-1.176184391311462685e+00,7.385476230581389245e-06,1.286997203928663680e+02
3.220000000000000195e+00,-4.157543159072976126e-04,-4.385283601704646197e-04,-9.779551288620332104e-04,-5.074540693839112437e-01,-5.352512106173177298e-01,-1.193655220951598706e+00,6.258763285416080180e-06,1.244227305057243740e+02
3.240000000000000213e+00,-3.898517030817939886e-04,-4.160922105169708937e-04,-9.569965599472784286e-04,-5.056057897562825643e-01,-5.396375828214128312e-01,-1.241146306816751421e+00,6.285222120538946911e-06,1.217562253267523289e+02
3.259999999999999787e+00,-3.631582572273772376e-04,-3.971605071811759894e-04,-9.420769881141368698e-04,-4.862715701077967578e-01,-5.318008321944334149e-01,-1.261447996997796306e+00,6.078205494475241721e-06,1.198580464281562143e+02
